exID,orderID,traderID,timeStamp,type,quantity,side,price
0,632,3001,31200,1,23,1,998733
0,156,2036,31200,1,39,1,200000
0,163,3021,31200,1,41,2,998740
0,24,2005,31200,1,32,2,0
0,631,3005,31200,1,35,1,998665
0,156,2019,31200,1,22,1,200000
0,64,3007,31200,1,47,2,998751
0,325,3014,31200,1,22,1,998694
0,624,2021,31200,1,15,1,200000
0,319,3004,31200,1,35,2,998738
0,5588,1000,31245,2,36,1,998694
0,632,3005,31250,1,13,2,998770
0,36,3011,31250,1,13,2,998741
0,633,3001,31250,1,49,2,998739
0,5601,1000,31250,1,4,1,998717
0,5602,1000,31250,1,49,1,998707
0,5603,1000,31250,1,31,1,998699
0,5604,1000,31250,1,48,1,998688
0,5605,1000,31250,1,26,1,998701
0,5606,1000,31250,1,30,1,998690
0,5607,1000,31250,1,10,1,998726
0,5608,1000,31250,1,21,1,998722
0,5609,1000,31250,1,50,1,998679
0,5610,1000,31250,1,30,1,998702
0,5611,1000,31250,1,33,1,998729
0,5612,1000,31250,1,24,1,998679
0,5613,1000,31250,1,47,1,998675
0,5614,1000,31250,1,7,1,998686
0,5615,1000,31250,1,5,1,998688
0,5616,1000,31250,1,1,1,998729
0,5617,1000,31250,1,6,1,998722
0,5618,1000,31250,1,39,1,998713
0,5619,1000,31250,1,26,1,998693
0,5620,1000,31250,1,7,1,998716
0,5621,1000,31250,1,46,1,998714
0,5622,1000,31250,1,10,1,998719
0,5623,1000,31250,1,17,1,998677
0,5624,1000,31250,1,37,1,998678
0,5625,1000,31250,1,33,1,998716
0,5626,1000,31250,1,8,1,998704
0,5627,1000,31250,1,7,1,998702
0,5628,1000,31250,1,46,1,998691
0,5629,1000,31250,1,7,1,998673
0,5630,1000,31250,1,48,1,998707
0,5631,1000,31250,1,23,1,998718
0,5632,1000,31250,1,26,1,998712
0,5633,1000,31250,1,18,1,998709
0,5634,1000,31250,1,44,1,998700
0,5635,1000,31250,1,23,1,998720
0,5636,1000,31250,1,20,1,998707
0,5637,1000,31250,1,36,1,998678
0,5638,1000,31250,1,6,1,998713
0,5639,1000,31250,1,50,1,998724
0,5640,1000,31250,1,6,1,998704
0,5641,1000,31250,1,42,1,998704
0,5642,1000,31250,1,1,1,998682
0,5643,1000,31250,1,38,1,998678
0,5644,1000,31250,1,7,1,998682
0,5645,1000,31250,1,26,1,998674
0,5646,1000,31250,1,24,1,998706
0,5647,1000,31250,1,40,1,998710
0,5648,1000,31250,1,2,1,998707
0,5649,1000,31250,1,37,1,998673
0,5650,1000,31250,1,47,1,998699
0,5651,1000,31250,1,46,1,998733
0,5652,1000,31250,1,7,1,998718
0,5653,1000,31250,1,5,1,998701
0,5654,1000,31250,1,35,1,998727
0,5655,1000,31250,1,2,1,998692
0,5656,1000,31250,1,24,1,998710
0,5657,1000,31250,1,36,1,998717
0,5658,1000,31250,1,19,1,998725
0,5659,1000,31250,1,16,1,998701
0,5660,1000,31250,1,16,1,998724
0,5633,1000,31250,2,18,1,998709
0,5635,1000,31250,2,23,1,998720
0,35,3003,31250,1,28,1,998732
0,636,3000,31250,1,1,2,998779
0,625,2021,31250,1,50,1,200000
0,5618,1000,31253,2,39,1,998713
0,5609,1000,31254,2,50,1,998679
0,5602,1000,31254,2,49,1,998707
0,5634,1000,31254,2,44,1,998700
0,5659,1000,31255,2,16,1,998701
0,5624,1000,31259,2,37,1,998678
0,5625,1000,31259,2,33,1,998716
0,5612,1000,31260,2,24,1,998679
0,5657,1000,31260,2,36,1,998717
0,5656,1000,31260,2,24,1,998710
0,5632,1000,31260,2,26,1,998712
0,5608,1000,31261,2,21,1,998722
0,5619,1000,31263,2,26,1,998693
0,5642,1000,31263,2,1,1,998682
0,5651,1000,31263,2,46,1,998733
0,5626,1000,31265,2,8,1,998704
0,5660,1000,31267,2,16,1,998724
0,5601,1000,31268,2,4,1,998717
0,5622,1000,31268,2,10,1,998719
0,5611,1000,31268,2,33,1,998729
0,5623,1000,31272,2,17,1,998677
0,5613,1000,31274,2,47,1,998675
0,5629,1000,31275,2,7,1,998673
0,5620,1000,31275,2,7,1,998716
0,5630,1000,31276,2,48,1,998707
0,5615,1000,31277,2,5,1,998688
0,5643,1000,31278,2,38,1,998678
0,5627,1000,31279,2,7,1,998702
0,5649,1000,31280,2,37,1,998673
0,5645,1000,31284,2,26,1,998674
0,5606,1000,31286,2,30,1,998690
0,5644,1000,31286,2,7,1,998682
0,5610,1000,31286,2,30,1,998702
0,5604,1000,31286,2,48,1,998688
0,5647,1000,31290,2,40,1,998710
0,5648,1000,31290,2,2,1,998707
0,5605,1000,31293,2,26,1,998701
0,5638,1000,31295,2,6,1,998713
0,5607,1000,31298,2,10,1,998726
0,637,3000,31300,1,32,2,998771
0,326,3014,31300,1,33,2,998775
0,633,3005,31300,1,2,2,998756
0,634,3001,31300,1,13,1,998679
0,626,2021,31300,1,11,2,0
0,5654,1000,31300,2,35,1,998727
0,5640,1000,31300,2,6,1,998704
0,320,3004,31300,1,14,1,998551
0,5650,1000,31302,2,47,1,998699
0,5617,1000,31305,2,6,1,998722
0,5628,1000,31306,2,46,1,998691
0,5614,1000,31306,2,7,1,998686
0,5621,1000,31307,2,46,1,998714
0,5641,1000,31308,2,42,1,998704
0,5636,1000,31311,2,20,1,998707
0,5655,1000,31313,2,2,1,998692
0,5603,1000,31317,2,31,1,998699
0,5658,1000,31318,2,19,1,998725
0,5631,1000,31318,2,23,1,998718
0,5653,1000,31334,2,5,1,998701
0,5639,1000,31346,2,50,1,998724
0,19,2030,31350,1,50,2,0
0,25,3016,31350,1,2,1,998732
0,627,2021,31350,1,38,2,0
0,635,3001,31350,1,24,2,998745
0,43,3036,31350,1,42,2,998734
0,634,3005,31350,1,13,1,998726
0,57,2035,31350,1,31,1,200000
0,67,3037,31350,1,17,2,998803
0,45,3028,31350,1,1,1,998703
0,209,2014,31350,1,40,1,200000
0,638,3000,31350,1,7,1,998714
0,5637,1000,31374,2,36,1,998678
0,5652,1000,31395,2,7,1,998718
0,165,3008,31400,1,16,2,998778
0,157,2034,31400,1,21,1,200000
0,164,3021,31400,1,25,1,998652
0,321,3004,31400,1,35,2,998742
0,327,3014,31400,1,11,2,998815
0,628,2021,31400,1,2,2,0
0,639,3000,31400,1,31,2,998737
0,157,2036,31400,1,46,2,0
0,635,3005,31400,1,40,1,998733
0,15,3025,31400,1,41,1,998650
0,157,2019,31400,1,7,2,0
0,636,3001,31400,1,34,2,998813
0,5616,1000,31411,2,1,1,998729
0,5646,1000,31428,2,24,1,998706
0,45,3029,31450,1,38,2,998747
0,637,3001,31450,1,24,1,998733
0,37,2038,31450,1,17,1,200000
0,629,2021,31450,1,21,1,200000
0,636,3005,31450,1,21,2,998843
0,640,3000,31450,1,22,1,998305
0,47,3017,31450,1,41,2,998793
0,637,3005,31500,1,50,1,998692
0,210,2014,31500,1,36,1,200000
0,70,2037,31500,1,20,1,200000
0,80,3006,31500,1,18,1,998732
0,68,3010,31500,1,6,1,998676
0,18,2043,31500,1,23,2,0
0,25,3035,31500,1,13,2,998796
0,641,3000,31500,1,50,2,998757
0,44,3018,31500,1,29,1,998708
0,63,2028,31500,1,33,1,200000
0,45,2022,31500,1,8,1,200000
0,328,3014,31500,1,39,1,998716
0,638,3001,31500,1,49,1,998732
0,109,3013,31500,1,6,1,998732
0,70,3019,31500,1,9,1,998724
