timeStamp,bestBid,bestAsk,bidSize,askSize
40150,998725,998727,456,218
40150,998725,998727,456,218
40150,998725,998727,441,218
40150,998725,998727,441,218
40150,998725,998727,441,218
40167,998725,998727,441,218
40200,998726,998727,18,218
40200,998726,998727,18,218
40200,998726,998727,18,218
40200,998726,998727,18,218
40200,998726,998727,18,218
40200,998725,998727,427,218
40200,998725,998727,427,218
40200,998725,998727,419,218
40200,998725,998727,419,218
40200,998725,998727,398,218
40200,998725,998727,398,218
40200,998725,998727,398,218
40234,998725,998727,398,218
40250,998725,998727,398,218
40250,998725,998727,398,218
40250,998725,998727,364,218
40250,998725,998727,364,252
40250,998725,998727,364,252
40250,998725,998727,364,252
40251,998725,998727,364,252
40254,998725,998727,364,252
40255,998725,998727,364,252
40256,998725,998727,364,252
40257,998725,998727,364,252
40258,998725,998727,364,252
40260,998725,998727,364,252
40263,998725,998727,364,252
40264,998725,998727,364,252
40265,998725,998727,364,252
40266,998725,998727,364,252
40267,998725,998727,364,252
40268,998725,998727,364,252
40269,998725,998727,364,252
40273,998725,998727,364,252
40274,998725,998727,364,252
40275,998725,998727,364,252
40276,998725,998727,364,252
40277,998725,998727,364,252
40278,998725,998727,364,252
40282,998725,998727,364,252
40284,998725,998727,364,252
40293,998725,998727,364,252
40297,998725,998727,364,252
40298,998725,998727,364,252
40300,998725,998727,315,252
40300,998725,998727,315,252
40300,998725,998727,315,252
40300,998725,998727,315,252
40300,998725,998727,315,266
40300,998725,998727,315,266
40300,998725,998727,315,266
40308,998725,998727,315,266
40313,998725,998727,315,266
40315,998725,998727,315,266
40340,998725,998727,315,266
40343,998725,998727,315,266
40350,998725,998727,301,266
40350,998725,998727,301,266
40350,998725,998727,301,266
40350,998725,998727,301,266
40350,998725,998727,301,266
40352,998725,998727,301,266
40363,998725,998727,301,266
40364,998725,998727,301,232
40382,998725,998727,301,232
40394,998725,998727,301,232
40400,998725,998727,301,232
40400,998725,998727,295,232
40400,998725,998727,295,232
40400,998725,998727,295,232
40400,998725,998727,295,232
40400,998726,998727,24,232
40400,998726,998727,24,232
40400,998726,998727,4,232
40400,998726,998727,4,232
40400,998725,998727,254,232
40400,998725,998727,254,232
40400,998725,998727,247,232
40412,998725,998727,247,232
40450,998725,998727,232,232
40450,998725,998727,232,232
40450,998725,998727,232,232
40450,998725,998727,232,232
40500,998725,998727,232,232
40500,998725,998727,232,232
40500,998725,998727,232,232
40500,998725,998727,232,232
40500,998725,998727,197,232
40500,998725,998727,197,232
40500,998725,998727,197,232
40500,998725,998727,197,232
40500,998725,998727,234,232
40500,998725,998727,197,232
40500,998725,998727,197,232
40500,998726,998727,33,232
40500,998726,998727,33,232
40500,998726,998727,33,232
40500,998726,998727,33,232
40500,998725,998727,192,232
40500,998725,998727,192,232
40501,998725,998727,192,232
40502,998725,998727,192,232
40503,998725,998727,192,232
